open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
44.41,45.3,43.92,44.53,59021355.0,603019.SH,2024-05-16,中科曙光,NA,CNY
44.1,44.4,43.58,44.22,36543002.0,603019.SH,2024-05-17,中科曙光,NA,CNY
43.9,44.95,43.41,44.55,46299007.0,603019.SH,2024-05-20,中科曙光,NA,CNY
44.63,44.95,43.83,43.88,29662428.0,603019.SH,2024-05-21,中科曙光,NA,CNY
43.79,44.09,43.5,43.89,24192998.0,603019.SH,2024-05-22,中科曙光,NA,CNY
44.23,44.3,42.45,42.65,41889986.0,603019.SH,2024-05-23,中科曙光,NA,CNY
42.65,43.12,41.35,41.35,41519177.0,603019.SH,2024-05-24,中科曙光,NA,CNY
41.39,42.17,40.71,42.17,39083399.0,603019.SH,2024-05-27,中科曙光,NA,CNY
41.97,42.29,41.09,41.15,28439540.0,603019.SH,2024-05-28,中科曙光,NA,CNY
41.4,41.56,40.13,40.58,34594560.0,603019.SH,2024-05-29,中科曙光,NA,CNY
40.25,40.76,39.79,40.4,24924004.0,603019.SH,2024-05-30,中科曙光,NA,CNY
40.47,41.68,40.31,40.87,30981058.0,603019.SH,2024-05-31,中科曙光,NA,CNY
40.88,41.29,40.35,40.78,29038565.0,603019.SH,2024-06-03,中科曙光,NA,CNY
40.8,40.99,40.0,40.56,26780310.0,603019.SH,2024-06-04,中科曙光,NA,CNY
40.6,40.89,39.87,39.93,23270489.0,603019.SH,2024-06-05,中科曙光,NA,CNY
40.1,41.28,39.77,40.02,46842246.0,603019.SH,2024-06-06,中科曙光,NA,CNY
40.06,40.12,38.48,38.85,45107231.0,603019.SH,2024-06-07,中科曙光,NA,CNY
38.73,40.08,38.5,39.99,39654998.0,603019.SH,2024-06-11,中科曙光,NA,CNY
39.87,40.65,39.79,40.29,28344808.0,603019.SH,2024-06-12,中科曙光,NA,CNY
40.29,41.41,40.29,40.84,38098352.0,603019.SH,2024-06-13,中科曙光,NA,CNY
40.55,42.5,40.52,42.26,57839096.0,603019.SH,2024-06-14,中科曙光,NA,CNY
42.18,42.2,41.42,41.75,35487391.0,603019.SH,2024-06-17,中科曙光,NA,CNY
41.58,43.5,41.51,42.69,49059257.0,603019.SH,2024-06-18,中科曙光,NA,CNY
42.74,43.65,42.52,42.52,43198355.0,603019.SH,2024-06-19,中科曙光,NA,CNY
42.04,42.05,40.96,40.97,40218384.0,603019.SH,2024-06-20,中科曙光,NA,CNY
40.54,41.43,40.12,41.26,26207647.0,603019.SH,2024-06-21,中科曙光,NA,CNY
41.0,41.21,39.65,39.76,26652049.0,603019.SH,2024-06-24,中科曙光,NA,CNY
39.8,39.87,38.01,38.49,32672367.0,603019.SH,2024-06-25,中科曙光,NA,CNY
38.5,42.08,38.46,41.83,50869253.0,603019.SH,2024-06-26,中科曙光,NA,CNY
41.55,42.07,41.02,41.08,41063152.0,603019.SH,2024-06-27,中科曙光,NA,CNY
40.81,42.21,40.75,41.5,39883678.0,603019.SH,2024-06-28,中科曙光,NA,CNY
41.45,41.79,40.29,41.43,34927565.0,603019.SH,2024-07-01,中科曙光,NA,CNY
41.16,41.64,40.26,40.59,26364840.0,603019.SH,2024-07-02,中科曙光,NA,CNY
40.56,40.63,39.43,40.01,22814134.0,603019.SH,2024-07-03,中科曙光,NA,CNY
40.46,40.47,39.16,39.2,21257486.0,603019.SH,2024-07-04,中科曙光,NA,CNY
39.3,40.38,39.22,39.68,29051640.0,603019.SH,2024-07-05,中科曙光,NA,CNY
39.55,39.56,38.5,38.75,25653865.0,603019.SH,2024-07-08,中科曙光,NA,CNY
38.8,40.55,38.38,40.4,44648720.0,603019.SH,2024-07-09,中科曙光,NA,CNY
40.1,40.62,40.02,40.15,25870909.0,603019.SH,2024-07-10,中科曙光,NA,CNY
40.96,41.25,40.17,41.24,43947620.0,603019.SH,2024-07-11,中科曙光,NA,CNY
40.92,40.92,40.21,40.42,25314445.0,603019.SH,2024-07-12,中科曙光,NA,CNY
