open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
62.75,62.9,62.36,62.57,14044051,601888.SH,2025-05-12,中国中免,NA,CNY
62.9,63.1,62.48,62.51,12242073,601888.SH,2025-05-13,中国中免,NA,CNY
62.55,62.96,61.44,62.58,19612182,601888.SH,2025-05-14,中国中免,NA,CNY
62.34,62.57,61.73,61.73,10947800,601888.SH,2025-05-15,中国中免,NA,CNY
61.73,63.1,61.5,62.87,19078872,601888.SH,2025-05-16,中国中免,NA,CNY
62.38,62.47,61.84,61.88,11054482,601888.SH,2025-05-19,中国中免,NA,CNY
61.9,62.12,61.76,61.91,7979561,601888.SH,2025-05-20,中国中免,NA,CNY
61.78,62.2,61.7,61.9,8417982,601888.SH,2025-05-21,中国中免,NA,CNY
61.8,62.0,61.24,61.24,9568375,601888.SH,2025-05-22,中国中免,NA,CNY
61.24,61.63,60.81,60.88,8985011,601888.SH,2025-05-23,中国中免,NA,CNY
60.81,61.16,60.74,61.15,5845003,601888.SH,2025-05-26,中国中免,NA,CNY
61.0,61.33,60.95,61.18,4767386,601888.SH,2025-05-27,中国中免,NA,CNY
61.18,61.45,60.88,61.23,5421794,601888.SH,2025-05-28,中国中免,NA,CNY
61.1,61.7,60.95,61.63,8509358,601888.SH,2025-05-29,中国中免,NA,CNY
61.56,61.56,60.59,60.59,7905246,601888.SH,2025-05-30,中国中免,NA,CNY
60.2,61.09,60.2,60.92,5958115,601888.SH,2025-06-03,中国中免,NA,CNY
60.93,61.78,60.72,61.64,9554118,601888.SH,2025-06-04,中国中免,NA,CNY
61.47,61.62,61.25,61.35,7129454,601888.SH,2025-06-05,中国中免,NA,CNY
61.3,61.95,61.03,61.61,8813267,601888.SH,2025-06-06,中国中免,NA,CNY
61.61,61.88,61.33,61.66,7652743,601888.SH,2025-06-09,中国中免,NA,CNY
61.66,61.69,60.65,61.16,9840796,601888.SH,2025-06-10,中国中免,NA,CNY
61.02,61.77,61.02,61.38,7855676,601888.SH,2025-06-11,中国中免,NA,CNY
61.4,61.45,61.06,61.18,6098829,601888.SH,2025-06-12,中国中免,NA,CNY
61.2,61.44,60.35,60.4,11822607,601888.SH,2025-06-13,中国中免,NA,CNY
60.23,60.6,60.11,60.45,6012787,601888.SH,2025-06-16,中国中免,NA,CNY
60.51,60.95,60.5,60.63,6249692,601888.SH,2025-06-17,中国中免,NA,CNY
60.61,60.84,60.35,60.66,5981136,601888.SH,2025-06-18,中国中免,NA,CNY
60.46,61.15,60.46,60.81,10571309,601888.SH,2025-06-19,中国中免,NA,CNY
59.78,61.09,59.5,60.18,15392329,601888.SH,2025-06-20,中国中免,NA,CNY
59.87,59.87,58.79,59.71,11036590,601888.SH,2025-06-23,中国中免,NA,CNY
59.94,60.89,59.93,60.88,13407471,601888.SH,2025-06-24,中国中免,NA,CNY
60.9,61.35,60.51,61.3,13118590,601888.SH,2025-06-25,中国中免,NA,CNY
61.0,61.62,60.82,61.1,11960119,601888.SH,2025-06-26,中国中免,NA,CNY
61.02,61.32,60.58,60.59,11539508,601888.SH,2025-06-27,中国中免,NA,CNY
60.59,61.07,60.57,60.97,9607044,601888.SH,2025-06-30,中国中免,NA,CNY
60.96,61.06,60.56,60.61,7504691,601888.SH,2025-07-01,中国中免,NA,CNY
60.65,60.92,60.4,60.68,8183723,601888.SH,2025-07-02,中国中免,NA,CNY
60.63,60.92,60.47,60.73,7833404,601888.SH,2025-07-03,中国中免,NA,CNY
60.75,61.55,60.69,61.03,14378065,601888.SH,2025-07-04,中国中免,NA,CNY
60.86,61.03,60.64,60.8,6682688,601888.SH,2025-07-07,中国中免,NA,CNY
60.8,61.4,60.66,61.34,11708978,601888.SH,2025-07-08,中国中免,NA,CNY
61.25,61.91,61.13,61.18,12918177,601888.SH,2025-07-09,中国中免,NA,CNY
61.18,62.5,61.1,61.86,17622374,601888.SH,2025-07-10,中国中免,NA,CNY
61.92,62.63,61.74,62.25,18195230,601888.SH,2025-07-11,中国中免,NA,CNY
61.99,62.16,61.6,61.6,11374291,601888.SH,2025-07-14,中国中免,NA,CNY
61.58,61.66,60.8,61.08,11331411,601888.SH,2025-07-15,中国中免,NA,CNY
61.1,61.55,61.0,61.15,7107554,601888.SH,2025-07-16,中国中免,NA,CNY
61.22,62.14,61.22,61.65,10385004,601888.SH,2025-07-17,中国中免,NA,CNY
61.72,63.2,61.71,62.77,22248395,601888.SH,2025-07-18,中国中免,NA,CNY
62.67,64.24,62.41,63.78,21926436,601888.SH,2025-07-21,中国中免,NA,CNY
65.0,65.49,63.63,65.43,42648470,601888.SH,2025-07-22,中国中免,NA,CNY
66.0,66.68,64.4,64.4,45718366,601888.SH,2025-07-23,中国中免,NA,CNY
64.89,70.84,64.89,70.84,71488095,601888.SH,2025-07-24,中国中免,NA,CNY
72.22,72.22,67.7,68.05,77990227,601888.SH,2025-07-25,中国中免,NA,CNY
67.2,68.45,66.1,66.37,43049725,601888.SH,2025-07-28,中国中免,NA,CNY
66.37,67.09,65.75,66.23,24277969,601888.SH,2025-07-29,中国中免,NA,CNY
66.18,67.02,65.75,66.28,26787039,601888.SH,2025-07-30,中国中免,NA,CNY
66.19,66.2,64.66,64.96,25486901,601888.SH,2025-07-31,中国中免,NA,CNY
64.75,65.4,64.41,64.59,12211655,601888.SH,2025-08-01,中国中免,NA,CNY
64.43,64.95,64.15,64.63,13896276,601888.SH,2025-08-04,中国中免,NA,CNY
64.68,64.97,64.45,64.88,11678896,601888.SH,2025-08-05,中国中免,NA,CNY
64.91,64.91,64.42,64.86,11336211,601888.SH,2025-08-06,中国中免,NA,CNY
64.89,65.3,64.71,64.89,14537548,601888.SH,2025-08-07,中国中免,NA,CNY
64.8,65.34,64.36,65.04,13444165,601888.SH,2025-08-08,中国中免,NA,CNY
65.04,65.8,64.8,65.64,18618683,601888.SH,2025-08-11,中国中免,NA,CNY
65.54,66.18,65.32,65.65,15837466,601888.SH,2025-08-12,中国中免,NA,CNY
66.15,66.8,65.5,65.63,24482753,601888.SH,2025-08-13,中国中免,NA,CNY
65.4,65.84,64.4,64.43,21816920,601888.SH,2025-08-14,中国中免,NA,CNY
64.37,64.98,64.02,64.66,19466378,601888.SH,2025-08-15,中国中免,NA,CNY
64.66,66.28,64.61,65.41,32558876,601888.SH,2025-08-18,中国中免,NA,CNY
65.68,66.52,65.5,65.73,22619529,601888.SH,2025-08-19,中国中免,NA,CNY
65.73,66.7,65.2,66.65,27730796,601888.SH,2025-08-20,中国中免,NA,CNY
66.68,68.26,66.4,67.13,33303080,601888.SH,2025-08-21,中国中免,NA,CNY
67.0,67.48,66.66,67.48,25382143,601888.SH,2025-08-22,中国中免,NA,CNY
68.0,69.27,67.66,69.24,39056544,601888.SH,2025-08-25,中国中免,NA,CNY
69.01,73.3,68.5,71.41,56700462,601888.SH,2025-08-26,中国中免,NA,CNY
70.26,70.92,68.68,68.69,49129196,601888.SH,2025-08-27,中国中免,NA,CNY
68.66,69.83,67.5,68.92,36837668,601888.SH,2025-08-28,中国中免,NA,CNY
68.92,70.94,68.7,69.29,40155516,601888.SH,2025-08-29,中国中免,NA,CNY
69.0,70.65,68.72,69.31,35979129,601888.SH,2025-09-01,中国中免,NA,CNY
69.12,70.26,68.21,68.79,31768918,601888.SH,2025-09-02,中国中免,NA,CNY
69.0,69.5,67.2,67.45,27110474,601888.SH,2025-09-03,中国中免,NA,CNY
67.2,68.62,66.93,67.75,29950431,601888.SH,2025-09-04,中国中免,NA,CNY
68.0,70.69,67.11,70.49,48645067,601888.SH,2025-09-05,中国中免,NA,CNY
70.45,72.35,70.1,71.5,43034007,601888.SH,2025-09-08,中国中免,NA,CNY
71.2,71.63,70.34,71.02,26878736,601888.SH,2025-09-09,中国中免,NA,CNY
70.78,71.58,70.41,70.68,22454003,601888.SH,2025-09-10,中国中免,NA,CNY
70.31,71.35,69.63,71.35,29876297,601888.SH,2025-09-11,中国中免,NA,CNY
71.4,73.56,70.24,70.4,45600897,601888.SH,2025-09-12,中国中免,NA,CNY
70.28,70.81,69.8,69.94,24630792,601888.SH,2025-09-15,中国中免,NA,CNY
70.5,72.0,70.35,71.54,34870072,601888.SH,2025-09-16,中国中免,NA,CNY
72.11,72.11,70.51,71.15,28303414,601888.SH,2025-09-17,中国中免,NA,CNY
71.17,74.0,71.17,71.68,71375886,601888.SH,2025-09-18,中国中免,NA,CNY
71.69,74.29,70.29,73.97,69840274,601888.SH,2025-09-19,中国中免,NA,CNY
73.96,73.97,72.52,73.04,39935091,601888.SH,2025-09-22,中国中免,NA,CNY
72.52,72.64,69.69,70.01,45310952,601888.SH,2025-09-23,中国中免,NA,CNY
69.57,70.37,69.47,70.26,24075880,601888.SH,2025-09-24,中国中免,NA,CNY
70.24,70.58,69.6,70.15,24472818,601888.SH,2025-09-25,中国中免,NA,CNY
69.9,71.23,68.94,70.2,28466317,601888.SH,2025-09-26,中国中免,NA,CNY
69.81,70.9,69.18,70.7,25380723,601888.SH,2025-09-29,中国中免,NA,CNY
70.71,71.76,70.4,71.57,27584320,601888.SH,2025-09-30,中国中免,NA,CNY
70.7,70.7,69.55,69.66,35588706,601888.SH,2025-10-09,中国中免,NA,CNY
69.51,70.15,68.23,68.6,26418365,601888.SH,2025-10-10,中国中免,NA,CNY
66.9,68.17,66.66,68.07,21178567,601888.SH,2025-10-13,中国中免,NA,CNY
68.19,69.37,68.17,68.46,20552887,601888.SH,2025-10-14,中国中免,NA,CNY
68.94,70.0,68.8,69.49,21508389,601888.SH,2025-10-15,中国中免,NA,CNY
69.2,71.18,69.1,69.96,24714035,601888.SH,2025-10-16,中国中免,NA,CNY
70.01,71.29,69.39,70.02,34532595,601888.SH,2025-10-17,中国中免,NA,CNY
70.65,71.8,69.98,70.32,27741760,601888.SH,2025-10-20,中国中免,NA,CNY
70.45,70.95,69.11,70.71,23624099,601888.SH,2025-10-21,中国中免,NA,CNY
70.38,70.69,69.5,69.67,17309848,601888.SH,2025-10-22,中国中免,NA,CNY
69.29,70.2,69.07,70.1,14737859,601888.SH,2025-10-23,中国中免,NA,CNY
70.02,71.97,69.88,70.52,24300583,601888.SH,2025-10-24,中国中免,NA,CNY
70.53,70.77,69.9,69.93,17907035,601888.SH,2025-10-27,中国中免,NA,CNY
69.93,70.33,69.41,69.46,15129600,601888.SH,2025-10-28,中国中免,NA,CNY
69.28,72.19,69.27,71.37,35695954,601888.SH,2025-10-29,中国中免,NA,CNY
71.38,75.5,71.17,73.1,66343248,601888.SH,2025-10-30,中国中免,NA,CNY
74.9,77.39,73.93,76.07,82775074,601888.SH,2025-10-31,中国中免,NA,CNY
76.0,77.3,75.0,76.67,48062756,601888.SH,2025-11-03,中国中免,NA,CNY
76.1,77.27,74.84,75.45,36112710,601888.SH,2025-11-04,中国中免,NA,CNY
74.61,79.94,74.39,77.6,64801179,601888.SH,2025-11-05,中国中免,NA,CNY
77.47,77.54,75.2,75.34,42517919,601888.SH,2025-11-06,中国中免,NA,CNY
76.51,80.8,76.13,78.99,76439770,601888.SH,2025-11-07,中国中免,NA,CNY
79.3,86.89,78.98,86.89,91381547,601888.SH,2025-11-10,中国中免,NA,CNY
88.65,93.39,86.5,90.53,138266342,601888.SH,2025-11-11,中国中免,NA,CNY
89.94,93.8,88.52,89.21,106388193,601888.SH,2025-11-12,中国中免,NA,CNY
88.27,91.44,87.51,90.52,85396172,601888.SH,2025-11-13,中国中免,NA,CNY
90.0,92.27,88.22,88.28,66716405,601888.SH,2025-11-14,中国中免,NA,CNY
87.6,90.2,86.61,87.8,55250738,601888.SH,2025-11-17,中国中免,NA,CNY
87.4,87.89,84.26,85.04,56999795,601888.SH,2025-11-18,中国中免,NA,CNY
84.59,85.82,81.77,82.4,52516302,601888.SH,2025-11-19,中国中免,NA,CNY
82.8,83.88,81.66,81.73,40535745,601888.SH,2025-11-20,中国中免,NA,CNY
80.54,82.48,79.05,79.05,45408838,601888.SH,2025-11-21,中国中免,NA,CNY
79.5,80.08,77.76,78.53,36008245,601888.SH,2025-11-24,中国中免,NA,CNY
79.2,80.05,78.9,79.69,30537777,601888.SH,2025-11-25,中国中免,NA,CNY
79.71,80.79,79.18,80.34,39365499,601888.SH,2025-11-26,中国中免,NA,CNY
80.9,80.91,78.42,78.5,36764533,601888.SH,2025-11-27,中国中免,NA,CNY
78.52,79.15,77.1,79.03,31696371,601888.SH,2025-11-28,中国中免,NA,CNY
79.02,85.73,78.98,84.46,73627167,601888.SH,2025-12-01,中国中免,NA,CNY
84.0,84.42,82.4,83.42,35676995,601888.SH,2025-12-02,中国中免,NA,CNY
83.0,84.3,81.7,81.83,29842778,601888.SH,2025-12-03,中国中免,NA,CNY
81.15,81.8,80.3,81.22,20812198,601888.SH,2025-12-04,中国中免,NA,CNY
81.17,81.77,80.16,81.02,22278101,601888.SH,2025-12-05,中国中免,NA,CNY
81.11,82.95,81.11,82.11,31270598,601888.SH,2025-12-08,中国中免,NA,CNY
81.58,82.09,79.91,80.24,28835812,601888.SH,2025-12-09,中国中免,NA,CNY
79.9,83.76,79.84,82.83,51785315,601888.SH,2025-12-10,中国中免,NA,CNY
