open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
73.48,74.8,72.82,73.79,20503757,601888.SH,2024-05-16,中国中免,NA,CNY
74.21,76.63,73.44,76.49,38508214,601888.SH,2024-05-17,中国中免,NA,CNY
77.56,78.95,76.78,78.22,40785687,601888.SH,2024-05-20,中国中免,NA,CNY
77.5,78.4,77.01,77.41,22545785,601888.SH,2024-05-21,中国中免,NA,CNY
77.41,78.68,77.07,78.01,20152837,601888.SH,2024-05-22,中国中免,NA,CNY
77.6,77.74,75.74,75.81,19939209,601888.SH,2024-05-23,中国中免,NA,CNY
75.5,75.6,73.61,73.66,19878231,601888.SH,2024-05-24,中国中免,NA,CNY
73.78,74.15,71.91,73.41,19699488,601888.SH,2024-05-27,中国中免,NA,CNY
72.89,73.4,72.4,72.48,12179223,601888.SH,2024-05-28,中国中免,NA,CNY
72.5,73.55,72.33,72.75,11022217,601888.SH,2024-05-29,中国中免,NA,CNY
72.33,72.35,71.1,71.39,18527927,601888.SH,2024-05-30,中国中免,NA,CNY
71.66,72.09,71.0,71.0,16688891,601888.SH,2024-05-31,中国中免,NA,CNY
71.03,71.28,70.0,70.47,15486355,601888.SH,2024-06-03,中国中免,NA,CNY
70.3,73.47,70.18,73.41,29486414,601888.SH,2024-06-04,中国中免,NA,CNY
73.0,74.38,72.72,73.34,21755678,601888.SH,2024-06-05,中国中免,NA,CNY
73.84,74.16,72.41,72.41,18703367,601888.SH,2024-06-06,中国中免,NA,CNY
72.89,73.38,72.03,72.6,15449120,601888.SH,2024-06-07,中国中免,NA,CNY
72.15,72.15,70.8,71.05,17045154,601888.SH,2024-06-11,中国中免,NA,CNY
70.75,71.63,70.3,71.23,16605905,601888.SH,2024-06-12,中国中免,NA,CNY
71.16,71.41,70.64,70.8,11778600,601888.SH,2024-06-13,中国中免,NA,CNY
69.58,69.58,67.62,69.28,17688421,601888.SH,2024-06-14,中国中免,NA,CNY
68.5,69.07,68.38,68.78,11352469,601888.SH,2024-06-17,中国中免,NA,CNY
68.95,70.51,68.92,69.29,15338193,601888.SH,2024-06-18,中国中免,NA,CNY
69.05,69.16,67.5,67.51,16829732,601888.SH,2024-06-19,中国中免,NA,CNY
67.1,67.26,65.05,65.36,23615463,601888.SH,2024-06-20,中国中免,NA,CNY
65.0,65.55,64.3,64.66,13733365,601888.SH,2024-06-21,中国中免,NA,CNY
64.06,65.2,63.33,64.48,16364157,601888.SH,2024-06-24,中国中免,NA,CNY
64.48,65.38,62.85,63.0,17341196,601888.SH,2024-06-25,中国中免,NA,CNY
62.81,64.58,62.53,64.41,14751269,601888.SH,2024-06-26,中国中免,NA,CNY
64.0,64.33,62.92,62.95,12693938,601888.SH,2024-06-27,中国中免,NA,CNY
62.5,63.35,62.13,62.49,14501670,601888.SH,2024-06-28,中国中免,NA,CNY
62.42,62.75,61.75,62.5,11613637,601888.SH,2024-07-01,中国中免,NA,CNY
62.48,63.19,61.78,61.81,13740728,601888.SH,2024-07-02,中国中免,NA,CNY
62.03,67.99,62.03,67.98,66386923,601888.SH,2024-07-03,中国中免,NA,CNY
66.32,66.88,64.65,64.75,41976297,601888.SH,2024-07-04,中国中免,NA,CNY
64.65,67.8,64.65,65.73,40332445,601888.SH,2024-07-05,中国中免,NA,CNY
65.1,65.88,63.0,63.1,28446642,601888.SH,2024-07-08,中国中免,NA,CNY
63.07,63.4,62.02,63.15,24287886,601888.SH,2024-07-09,中国中免,NA,CNY
62.86,64.77,62.27,63.35,19768427,601888.SH,2024-07-10,中国中免,NA,CNY
64.69,67.86,63.83,67.33,38625465,601888.SH,2024-07-11,中国中免,NA,CNY
67.15,69.78,67.0,67.75,38030674,601888.SH,2024-07-12,中国中免,NA,CNY
66.0,67.55,65.97,66.88,19430110,601888.SH,2024-07-15,中国中免,NA,CNY
66.9,68.52,66.9,67.47,25258185,601888.SH,2024-07-16,中国中免,NA,CNY
67.0,71.9,66.51,70.51,45270139,601888.SH,2024-07-17,中国中免,NA,CNY
70.3,71.1,69.4,70.17,26544551,601888.SH,2024-07-18,中国中免,NA,CNY
69.49,70.03,68.59,69.83,22847965,601888.SH,2024-07-19,中国中免,NA,CNY
69.84,69.93,68.18,68.68,20996003,601888.SH,2024-07-22,中国中免,NA,CNY
68.7,69.38,66.68,66.73,19494645,601888.SH,2024-07-23,中国中免,NA,CNY
66.5,67.38,64.81,65.19,19778489,601888.SH,2024-07-24,中国中免,NA,CNY
64.83,67.7,64.75,66.75,23237211,601888.SH,2024-07-25,中国中免,NA,CNY
66.77,67.75,66.28,67.12,14355190,601888.SH,2024-07-26,中国中免,NA,CNY
67.12,67.12,64.85,64.89,18020555,601888.SH,2024-07-29,中国中免,NA,CNY
64.58,65.63,64.36,64.94,12595688,601888.SH,2024-07-30,中国中免,NA,CNY
65.12,69.02,65.1,68.61,31182442,601888.SH,2024-07-31,中国中免,NA,CNY
68.37,68.48,67.1,67.2,19098172,601888.SH,2024-08-01,中国中免,NA,CNY
66.77,67.93,66.4,66.6,15166130,601888.SH,2024-08-02,中国中免,NA,CNY
67.29,68.53,66.42,66.43,21852116,601888.SH,2024-08-05,中国中免,NA,CNY
67.2,68.35,66.48,68.04,20551458,601888.SH,2024-08-06,中国中免,NA,CNY
67.6,67.6,66.4,66.63,15611357,601888.SH,2024-08-07,中国中免,NA,CNY
66.34,66.83,65.4,66.02,12292621,601888.SH,2024-08-08,中国中免,NA,CNY
66.35,66.5,64.81,64.83,13934172,601888.SH,2024-08-09,中国中免,NA,CNY
64.51,64.77,63.54,63.95,10891777,601888.SH,2024-08-12,中国中免,NA,CNY
64.01,64.18,63.11,64.17,8864218,601888.SH,2024-08-13,中国中免,NA,CNY
64.3,64.3,63.21,63.24,7623697,601888.SH,2024-08-14,中国中免,NA,CNY
63.1,64.58,63.01,63.9,11386587,601888.SH,2024-08-15,中国中免,NA,CNY
63.64,63.88,63.32,63.49,6571454,601888.SH,2024-08-16,中国中免,NA,CNY
63.12,64.21,63.02,63.4,7521403,601888.SH,2024-08-19,中国中免,NA,CNY
63.12,63.22,62.03,62.18,10508504,601888.SH,2024-08-20,中国中免,NA,CNY
61.99,62.3,61.29,61.34,9751695,601888.SH,2024-08-21,中国中免,NA,CNY
61.67,61.79,60.17,60.27,11074926,601888.SH,2024-08-22,中国中免,NA,CNY
60.25,61.44,59.7,60.95,9444178,601888.SH,2024-08-23,中国中免,NA,CNY
60.95,61.54,60.35,60.8,7290375,601888.SH,2024-08-26,中国中免,NA,CNY
60.56,60.6,59.51,59.68,9906580,601888.SH,2024-08-27,中国中免,NA,CNY
62.0,62.4,60.32,60.41,18703372,601888.SH,2024-08-28,中国中免,NA,CNY
59.23,59.55,58.25,59.48,17867995,601888.SH,2024-08-29,中国中免,NA,CNY
59.03,62.0,58.8,61.01,23315928,601888.SH,2024-08-30,中国中免,NA,CNY
60.0,60.31,58.89,58.93,14473682,601888.SH,2024-09-02,中国中免,NA,CNY
58.92,59.49,58.65,59.14,8749418,601888.SH,2024-09-03,中国中免,NA,CNY
58.6,59.39,58.35,58.55,9680560,601888.SH,2024-09-04,中国中免,NA,CNY
58.55,58.95,58.46,58.73,10299591,601888.SH,2024-09-05,中国中免,NA,CNY
58.68,58.68,56.8,56.82,18567206,601888.SH,2024-09-06,中国中免,NA,CNY
56.29,56.59,55.43,55.59,14890777,601888.SH,2024-09-09,中国中免,NA,CNY
55.58,55.71,54.0,55.08,15528978,601888.SH,2024-09-10,中国中免,NA,CNY
54.58,55.5,54.49,55.18,8760351,601888.SH,2024-09-11,中国中免,NA,CNY
55.2,55.8,54.77,54.79,9531142,601888.SH,2024-09-12,中国中免,NA,CNY
54.7,55.7,54.54,54.84,12706109,601888.SH,2024-09-13,中国中免,NA,CNY
54.58,54.73,53.52,53.76,11453855,601888.SH,2024-09-18,中国中免,NA,CNY
54.17,56.15,54.03,55.14,19320530,601888.SH,2024-09-19,中国中免,NA,CNY
54.73,54.9,53.68,54.31,17154661,601888.SH,2024-09-20,中国中免,NA,CNY
54.28,54.78,53.72,54.3,9268723,601888.SH,2024-09-23,中国中免,NA,CNY
55.18,57.33,54.66,57.32,29297316,601888.SH,2024-09-24,中国中免,NA,CNY
58.15,59.69,57.9,58.01,32140533,601888.SH,2024-09-25,中国中免,NA,CNY
57.73,63.81,57.55,63.81,52629794,601888.SH,2024-09-26,中国中免,NA,CNY
66.9,70.18,66.5,70.18,48820095,601888.SH,2024-09-27,中国中免,NA,CNY
77.18,77.2,74.41,77.2,59678247,601888.SH,2024-09-30,中国中免,NA,CNY
84.92,84.92,78.01,84.89,121400190,601888.SH,2024-10-08,中国中免,NA,CNY
80.0,81.19,76.4,76.4,69084199,601888.SH,2024-10-09,中国中免,NA,CNY
74.6,78.02,72.42,74.55,48888761,601888.SH,2024-10-10,中国中免,NA,CNY
73.39,74.33,70.83,71.63,31877159,601888.SH,2024-10-11,中国中免,NA,CNY
71.6,72.51,68.81,71.36,34410491,601888.SH,2024-10-14,中国中免,NA,CNY
70.6,71.0,69.0,69.03,25363250,601888.SH,2024-10-15,中国中免,NA,CNY
66.81,67.52,65.56,66.1,36980550,601888.SH,2024-10-16,中国中免,NA,CNY
66.2,67.32,65.29,65.44,23020565,601888.SH,2024-10-17,中国中免,NA,CNY
65.45,70.0,64.89,68.02,41532477,601888.SH,2024-10-18,中国中免,NA,CNY
68.65,68.86,66.88,68.19,33393332,601888.SH,2024-10-21,中国中免,NA,CNY
67.77,69.57,67.6,69.14,26407953,601888.SH,2024-10-22,中国中免,NA,CNY
69.49,70.58,68.5,69.5,31536172,601888.SH,2024-10-23,中国中免,NA,CNY
68.78,69.07,67.57,67.8,20178737,601888.SH,2024-10-24,中国中免,NA,CNY
67.8,70.0,67.12,68.99,25906527,601888.SH,2024-10-25,中国中免,NA,CNY
69.0,70.52,68.62,70.3,27078110,601888.SH,2024-10-28,中国中免,NA,CNY
70.97,71.02,68.47,68.83,28670172,601888.SH,2024-10-29,中国中免,NA,CNY
67.8,68.8,67.45,67.9,17119331,601888.SH,2024-10-30,中国中免,NA,CNY
67.55,68.83,67.0,67.83,19514709,601888.SH,2024-10-31,中国中免,NA,CNY
67.83,69.98,67.3,68.32,30367604,601888.SH,2024-11-01,中国中免,NA,CNY
68.88,70.5,68.33,70.21,30003150,601888.SH,2024-11-04,中国中免,NA,CNY
70.0,73.52,69.27,72.9,41309611,601888.SH,2024-11-05,中国中免,NA,CNY
72.86,73.7,71.66,72.65,35805827,601888.SH,2024-11-06,中国中免,NA,CNY
71.71,76.96,71.65,76.92,55135560,601888.SH,2024-11-07,中国中免,NA,CNY
78.0,78.51,75.0,75.8,45575346,601888.SH,2024-11-08,中国中免,NA,CNY
74.42,74.58,72.86,74.43,37677400,601888.SH,2024-11-11,中国中免,NA,CNY
74.43,76.42,73.77,74.2,32148798,601888.SH,2024-11-12,中国中免,NA,CNY
73.72,75.96,73.5,74.16,20839741,601888.SH,2024-11-13,中国中免,NA,CNY
74.17,74.31,71.89,72.09,19687490,601888.SH,2024-11-14,中国中免,NA,CNY
72.02,72.5,70.71,70.72,21290032,601888.SH,2024-11-15,中国中免,NA,CNY
70.75,71.53,69.28,69.77,19119798,601888.SH,2024-11-18,中国中免,NA,CNY
70.0,70.4,68.47,70.31,16875959,601888.SH,2024-11-19,中国中免,NA,CNY
70.19,70.79,69.8,70.4,13658827,601888.SH,2024-11-20,中国中免,NA,CNY
70.19,70.37,69.54,70.01,12105306,601888.SH,2024-11-21,中国中免,NA,CNY
69.95,70.44,67.4,67.4,17907850,601888.SH,2024-11-22,中国中免,NA,CNY
67.6,68.65,67.45,68.0,14871642,601888.SH,2024-11-25,中国中免,NA,CNY
67.7,68.75,67.59,67.84,10690796,601888.SH,2024-11-26,中国中免,NA,CNY
67.6,68.69,67.07,68.68,12504021,601888.SH,2024-11-27,中国中免,NA,CNY
68.68,69.2,68.08,68.28,13656372,601888.SH,2024-11-28,中国中免,NA,CNY
68.25,70.34,68.1,69.55,18911364,601888.SH,2024-11-29,中国中免,NA,CNY
69.55,73.17,69.23,72.62,34046345,601888.SH,2024-12-02,中国中免,NA,CNY
72.62,72.63,71.05,71.63,19915422,601888.SH,2024-12-03,中国中免,NA,CNY
71.24,71.24,69.82,70.07,14858663,601888.SH,2024-12-04,中国中免,NA,CNY
69.83,70.3,69.5,69.9,11809592,601888.SH,2024-12-05,中国中免,NA,CNY
69.9,70.98,69.5,70.56,14843704,601888.SH,2024-12-06,中国中免,NA,CNY
70.2,70.39,69.0,69.29,14097857,601888.SH,2024-12-09,中国中免,NA,CNY
73.0,73.5,70.5,70.65,35683024,601888.SH,2024-12-10,中国中免,NA,CNY
70.33,72.65,70.33,71.85,21161469,601888.SH,2024-12-11,中国中免,NA,CNY
71.55,74.17,71.28,73.81,38737528,601888.SH,2024-12-12,中国中免,NA,CNY
72.99,73.0,71.3,71.3,29593462,601888.SH,2024-12-13,中国中免,NA,CNY
71.35,73.35,70.5,71.8,27358484,601888.SH,2024-12-16,中国中免,NA,CNY
71.3,71.78,70.05,70.97,19088461,601888.SH,2024-12-17,中国中免,NA,CNY
71.71,71.86,70.51,70.63,16081300,601888.SH,2024-12-18,中国中免,NA,CNY
69.6,70.25,69.14,70.03,16860969,601888.SH,2024-12-19,中国中免,NA,CNY
70.0,70.38,69.25,69.42,13588031,601888.SH,2024-12-20,中国中免,NA,CNY
69.48,69.49,68.69,68.7,13463289,601888.SH,2024-12-23,中国中免,NA,CNY
68.66,69.53,68.52,69.43,10033633,601888.SH,2024-12-24,中国中免,NA,CNY
69.58,69.58,68.53,69.2,9520960,601888.SH,2024-12-25,中国中免,NA,CNY
69.2,69.4,68.73,69.07,9394114,601888.SH,2024-12-26,中国中免,NA,CNY
