open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
3350.405,3351.2198,3335.127,3341.9989,398909191.0,000001.SH,2025-05-09,NA,NA,CNY
3352.9698,3372.4724,3344.2687,3369.2445,418239910.0,000001.SH,2025-05-12,NA,NA,CNY
3386.2344,3386.2344,3370.2516,3374.8707,426240700.0,000001.SH,2025-05-13,NA,NA,CNY
3374.2353,3417.3142,3368.0781,3403.9481,464934441.0,000001.SH,2025-05-14,NA,NA,CNY
3398.4272,3402.8656,3378.0208,3380.8214,424100916.0,000001.SH,2025-05-15,NA,NA,CNY
3374.7061,3380.29,3356.6609,3367.4619,395401030.0,000001.SH,2025-05-16,NA,NA,CNY
3365.8823,3373.5994,3356.6483,3367.5829,403074805.0,000001.SH,2025-05-19,NA,NA,CNY
3371.6886,3387.804,3369.9629,3380.478,405544534.0,000001.SH,2025-05-20,NA,NA,CNY
3380.2094,3394.7541,3380.2094,3387.5736,412496165.0,000001.SH,2025-05-21,NA,NA,CNY
3381.865,3390.5925,3376.2331,3380.1885,394217206.0,000001.SH,2025-05-22,NA,NA,CNY
3376.8691,3389.4686,3348.3717,3348.3717,400227004.0,000001.SH,2025-05-23,NA,NA,CNY
3346.561,3362.307,3336.3552,3346.8388,347562101.0,000001.SH,2025-05-26,NA,NA,CNY
3346.5029,3351.5718,3332.4895,3340.687,344071157.0,000001.SH,2025-05-27,NA,NA,CNY
3341.8518,3348.234,3336.7273,3339.9319,341555443.0,000001.SH,2025-05-28,NA,NA,CNY
3340.4012,3368.6334,3337.415,3363.4455,393233806.0,000001.SH,2025-05-29,NA,NA,CNY
3358.8093,3361.2751,3341.6484,3347.4873,385602170.0,000001.SH,2025-05-30,NA,NA,CNY
3340.0666,3366.9974,3340.0666,3361.9755,398060772.0,000001.SH,2025-06-03,NA,NA,CNY
3363.391,3379.6401,3363.391,3376.2029,386494643.0,000001.SH,2025-06-04,NA,NA,CNY
3378.2169,3387.7645,3371.1457,3384.0985,406252093.0,000001.SH,2025-06-05,NA,NA,CNY
3384.2949,3391.451,3379.7641,3385.3579,380122886.0,000001.SH,2025-06-06,NA,NA,CNY
3388.7783,3402.0503,3383.0742,3399.7716,427347947.0,000001.SH,2025-06-09,NA,NA,CNY
3402.013,3406.4515,3365.6674,3384.8163,481618568.0,000001.SH,2025-06-10,NA,NA,CNY
3385.4568,3413.5132,3385.4568,3402.3159,424090313.0,000001.SH,2025-06-11,NA,NA,CNY
3397.972,3408.2049,3388.8657,3402.658,409490610.0,000001.SH,2025-06-12,NA,NA,CNY
3397.4844,3401.5526,3370.5924,3376.996,510065221.0,000001.SH,2025-06-13,NA,NA,CNY
3369.3661,3389.7563,3368.8764,3388.7293,405383278.0,000001.SH,2025-06-16,NA,NA,CNY
3388.1801,3393.3127,3376.4201,3387.4049,390012447.0,000001.SH,2025-06-17,NA,NA,CNY
3386.136,3391.7087,3369.9859,3388.8086,378684891.0,000001.SH,2025-06-18,NA,NA,CNY
3384.2932,3386.9194,3353.9355,3362.1082,415327655.0,000001.SH,2025-06-19,NA,NA,CNY
3358.9128,3370.7984,3357.7061,3359.8954,350223662.0,000001.SH,2025-06-20,NA,NA,CNY
3349.4603,3389.4524,3347.6508,3381.5816,384561397.0,000001.SH,2025-06-23,NA,NA,CNY
3380.08,3423.7835,3380.08,3420.566,460963800.0,000001.SH,2025-06-24,NA,NA,CNY
3419.0914,3459.0093,3417.4105,3455.9736,509384064.0,000001.SH,2025-06-25,NA,NA,CNY
3451.7193,3462.752,3446.1855,3448.4534,496541077.0,000001.SH,2025-06-26,NA,NA,CNY
3450.6863,3462.6273,3421.0403,3424.2267,523129432.0,000001.SH,2025-06-27,NA,NA,CNY
3423.4738,3447.46,3420.1118,3444.4256,457348049.0,000001.SH,2025-06-30,NA,NA,CNY
3445.8457,3459.5866,3441.0379,3457.7474,444356739.0,000001.SH,2025-07-01,NA,NA,CNY
3458.171,3461.328,3447.9557,3454.7924,498116776.0,000001.SH,2025-07-02,NA,NA,CNY
3456.1519,3463.6198,3446.9739,3461.1506,438543465.0,000001.SH,2025-07-03,NA,NA,CNY
3459.5924,3497.2248,3455.4938,3472.3192,500195210.0,000001.SH,2025-07-04,NA,NA,CNY
3467.9849,3474.8007,3462.7923,3473.1271,436631340.0,000001.SH,2025-07-07,NA,NA,CNY
3474.6316,3499.8857,3474.6316,3497.4753,493484773.0,000001.SH,2025-07-08,NA,NA,CNY
3498.724,3512.6687,3491.2007,3493.0495,523920088.0,000001.SH,2025-07-09,NA,NA,CNY
3491.4973,3526.5899,3491.4973,3509.6818,564159805.0,000001.SH,2025-07-10,NA,NA,CNY
3511.3656,3555.2179,3506.7994,3510.1772,664185249.0,000001.SH,2025-07-11,NA,NA,CNY
3513.2515,3532.1183,3513.2515,3519.6498,572084705.0,000001.SH,2025-07-14,NA,NA,CNY
3519.8052,3527.0379,3483.3798,3504.9988,572074726.0,000001.SH,2025-07-15,NA,NA,CNY
3502.8987,3511.8058,3489.1368,3503.7769,470878578.0,000001.SH,2025-07-16,NA,NA,CNY
3500.3715,3517.2847,3499.1856,3516.8255,472211056.0,000001.SH,2025-07-17,NA,NA,CNY
3519.4752,3536.0143,3518.2313,3534.4827,493484088.0,000001.SH,2025-07-18,NA,NA,CNY
3542.8164,3560.6285,3542.5677,3559.7912,633649736.0,000001.SH,2025-07-21,NA,NA,CNY
3561.6316,3584.7185,3547.252,3581.8611,716155230.0,000001.SH,2025-07-22,NA,NA,CNY
3588.8777,3613.0223,3577.5942,3582.298,767672388.0,000001.SH,2025-07-23,NA,NA,CNY
3578.9121,3608.7278,3577.1131,3605.7269,773265835.0,000001.SH,2025-07-24,NA,NA,CNY
3604.4505,3610.0287,3586.22,3593.6553,697189549.0,000001.SH,2025-07-25,NA,NA,CNY
3594.2313,3606.2742,3582.1489,3597.9369,594187877.0,000001.SH,2025-07-28,NA,NA,CNY
3595.8099,3611.3532,3585.9435,3609.7113,610642058.0,000001.SH,2025-07-29,NA,NA,CNY
3608.354,3636.1664,3593.7338,3615.7167,637221916.0,000001.SH,2025-07-30,NA,NA,CNY
3604.6959,3606.3744,3562.6072,3573.2082,654509349.0,000001.SH,2025-07-31,NA,NA,CNY
3568.2608,3581.7457,3550.0434,3559.9518,509563080.0,000001.SH,2025-08-01,NA,NA,CNY
3547.1629,3583.3088,3547.1629,3583.3088,458573618.0,000001.SH,2025-08-04,NA,NA,CNY
3588.8077,3617.5976,3586.9686,3617.5976,499797780.0,000001.SH,2025-08-05,NA,NA,CNY
3615.808,3634.3135,3613.9894,3633.9949,512467273.0,000001.SH,2025-08-06,NA,NA,CNY
3637.7811,3645.117,3622.5224,3639.6666,535501202.0,000001.SH,2025-08-07,NA,NA,CNY
3634.8546,3645.3667,3625.4508,3635.1281,526407572.0,000001.SH,2025-08-08,NA,NA,CNY
3637.0534,3656.8517,3629.6267,3647.5467,551393348.0,000001.SH,2025-08-11,NA,NA,CNY
3647.9625,3669.0384,3647.9625,3665.9177,536623739.0,000001.SH,2025-08-12,NA,NA,CNY
3668.6581,3688.6276,3666.5468,3683.4648,613528884.0,000001.SH,2025-08-13,NA,NA,CNY
3685.5223,3704.7715,3662.5695,3666.4426,647829587.0,000001.SH,2025-08-14,NA,NA,CNY
3659.8146,3702.2553,3658.3762,3696.7705,678521703.0,000001.SH,2025-08-15,NA,NA,CNY
3712.4952,3745.939,3702.3802,3728.0273,776016669.0,000001.SH,2025-08-18,NA,NA,CNY
3728.4851,3746.669,3718.1467,3727.2879,696099750.0,000001.SH,2025-08-19,NA,NA,CNY
3716.6847,3767.43,3704.9912,3766.2104,679836426.0,000001.SH,2025-08-20,NA,NA,CNY
3770.6757,3787.9806,3757.9918,3771.0989,691552959.0,000001.SH,2025-08-21,NA,NA,CNY
3772.2769,3825.7592,3772.2769,3825.7592,698136277.0,000001.SH,2025-08-22,NA,NA,CNY
3848.1629,3883.5617,3839.9724,3883.5617,885474802.0,000001.SH,2025-08-25,NA,NA,CNY
3871.471,3888.5985,3859.7575,3868.382,734565305.0,000001.SH,2025-08-26,NA,NA,CNY
3869.6116,3887.198,3800.3499,3800.3499,858633499.0,000001.SH,2025-08-27,NA,NA,CNY
3796.7112,3845.0871,3761.4221,3843.5974,788351947.0,000001.SH,2025-08-28,NA,NA,CNY
3842.8234,3867.6058,3839.2059,3857.9274,739462366.0,000001.SH,2025-08-29,NA,NA,CNY
3869.7457,3879.0453,3853.6584,3875.5304,747709536.0,000001.SH,2025-09-01,NA,NA,CNY
3877.0858,3885.3145,3828.6775,3858.1334,762618833.0,000001.SH,2025-09-02,NA,NA,CNY
3865.286,3868.3877,3794.8837,3813.5566,645668510.0,000001.SH,2025-09-03,NA,NA,CNY
3807.7571,3808.3955,3732.8404,3765.8759,710227933.0,000001.SH,2025-09-04,NA,NA,CNY
3761.8801,3817.1589,3745.3091,3812.5143,626223380.0,000001.SH,2025-09-05,NA,NA,CNY
3811.6692,3833.143,3803.6033,3826.8407,660066898.0,000001.SH,2025-09-08,NA,NA,CNY
3816.6574,3834.671,3791.7243,3807.2923,600239380.0,000001.SH,2025-09-09,NA,NA,CNY
3806.5842,3826.9959,3794.0574,3812.2212,534539825.0,000001.SH,2025-09-10,NA,NA,CNY
3806.0564,3875.3094,3796.4345,3875.3094,617012930.0,000001.SH,2025-09-11,NA,NA,CNY
3875.5072,3892.7375,3866.5388,3870.5984,700641784.0,000001.SH,2025-09-12,NA,NA,CNY
3876.0974,3879.7365,3855.9725,3860.5036,644793944.0,000001.SH,2025-09-15,NA,NA,CNY
3865.9801,3876.6901,3838.6483,3861.8651,673439723.0,000001.SH,2025-09-16,NA,NA,CNY
