open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
219.15,219.96,216.61,218.31,8715722,002594.SZ,2024-05-16,比亚迪,NA,CNY
219.39,220.33,217.66,219.59,7148666,002594.SZ,2024-05-17,比亚迪,NA,CNY
218.48,224.0,218.48,222.87,7595857,002594.SZ,2024-05-20,比亚迪,NA,CNY
221.98,221.99,217.42,218.78,8408043,002594.SZ,2024-05-21,比亚迪,NA,CNY
218.19,219.5,215.16,216.92,8839817,002594.SZ,2024-05-22,比亚迪,NA,CNY
215.85,215.85,213.51,214.95,6228723,002594.SZ,2024-05-23,比亚迪,NA,CNY
213.98,214.0,208.8,209.3,10287552,002594.SZ,2024-05-24,比亚迪,NA,CNY
210.0,210.8,206.6,208.35,7604551,002594.SZ,2024-05-27,比亚迪,NA,CNY
208.8,208.91,206.58,207.38,6094646,002594.SZ,2024-05-28,比亚迪,NA,CNY
211.0,226.0,210.99,224.7,30264777,002594.SZ,2024-05-29,比亚迪,NA,CNY
224.42,229.38,223.9,227.86,22379181,002594.SZ,2024-05-30,比亚迪,NA,CNY
228.8,231.6,226.99,229.02,18542984,002594.SZ,2024-05-31,比亚迪,NA,CNY
229.01,240.48,225.99,237.1,27014589,002594.SZ,2024-06-03,比亚迪,NA,CNY
236.9,239.8,235.95,238.15,15742916,002594.SZ,2024-06-04,比亚迪,NA,CNY
238.48,246.3,238.48,240.79,19443395,002594.SZ,2024-06-05,比亚迪,NA,CNY
241.2,243.8,237.5,238.5,17586542,002594.SZ,2024-06-06,比亚迪,NA,CNY
239.03,241.39,232.13,235.5,18259398,002594.SZ,2024-06-07,比亚迪,NA,CNY
234.63,246.0,234.33,244.63,22159693,002594.SZ,2024-06-11,比亚迪,NA,CNY
241.63,247.55,241.63,242.9,18733197,002594.SZ,2024-06-12,比亚迪,NA,CNY
248.8,258.28,248.11,252.99,29251928,002594.SZ,2024-06-13,比亚迪,NA,CNY
251.48,253.93,246.53,253.05,20260976,002594.SZ,2024-06-14,比亚迪,NA,CNY
252.0,259.87,250.87,257.21,20864880,002594.SZ,2024-06-17,比亚迪,NA,CNY
255.6,257.3,253.0,255.64,12878911,002594.SZ,2024-06-18,比亚迪,NA,CNY
256.0,258.0,253.41,254.0,9910811,002594.SZ,2024-06-19,比亚迪,NA,CNY
252.88,253.77,249.3,251.5,11619994,002594.SZ,2024-06-20,比亚迪,NA,CNY
251.99,254.37,247.81,250.67,11633012,002594.SZ,2024-06-21,比亚迪,NA,CNY
250.0,253.98,247.78,249.94,10842302,002594.SZ,2024-06-24,比亚迪,NA,CNY
252.0,258.74,250.36,254.01,19574643,002594.SZ,2024-06-25,比亚迪,NA,CNY
252.0,254.3,249.38,252.72,11191676,002594.SZ,2024-06-26,比亚迪,NA,CNY
251.02,252.36,248.42,249.5,8291084,002594.SZ,2024-06-27,比亚迪,NA,CNY
248.0,252.13,246.88,250.25,9298207,002594.SZ,2024-06-28,比亚迪,NA,CNY
250.25,251.85,242.5,246.8,12927332,002594.SZ,2024-07-01,比亚迪,NA,CNY
246.87,247.7,243.05,243.97,10262737,002594.SZ,2024-07-02,比亚迪,NA,CNY
243.96,245.38,240.0,243.1,9657403,002594.SZ,2024-07-03,比亚迪,NA,CNY
245.0,249.69,244.5,244.63,9919634,002594.SZ,2024-07-04,比亚迪,NA,CNY
243.17,244.5,238.88,242.03,9566478,002594.SZ,2024-07-05,比亚迪,NA,CNY
241.8,248.22,241.18,244.99,10537466,002594.SZ,2024-07-08,比亚迪,NA,CNY
245.2,253.51,241.51,252.6,14076255,002594.SZ,2024-07-09,比亚迪,NA,CNY
252.49,256.53,251.5,252.5,10928256,002594.SZ,2024-07-10,比亚迪,NA,CNY
255.0,256.26,251.68,253.06,10035945,002594.SZ,2024-07-11,比亚迪,NA,CNY
253.52,264.0,251.89,262.62,18886322,002594.SZ,2024-07-12,比亚迪,NA,CNY
262.3,264.8,260.61,261.71,9871552,002594.SZ,2024-07-15,比亚迪,NA,CNY
260.61,262.2,256.35,258.99,11758768,002594.SZ,2024-07-16,比亚迪,NA,CNY
259.0,261.52,256.62,259.51,10519171,002594.SZ,2024-07-17,比亚迪,NA,CNY
257.9,262.9,257.51,261.43,9532204,002594.SZ,2024-07-18,比亚迪,NA,CNY
260.5,266.0,259.74,264.06,13621379,002594.SZ,2024-07-19,比亚迪,NA,CNY
264.1,270.1,264.1,265.61,10074955,002594.SZ,2024-07-22,比亚迪,NA,CNY
264.99,265.41,253.0,253.23,16741049,002594.SZ,2024-07-23,比亚迪,NA,CNY
253.23,255.15,248.49,249.99,11864005,002594.SZ,2024-07-24,比亚迪,NA,CNY
